04-05-2023 	 10:57:10 	 cb19d55f-34e9-4f95-bff0-11c5122a1748 	 GET	undefined	/ 
04-05-2023 	 10:57:11 	 659cbc26-19b8-4968-9d23-e0b86303b80e 	 GET	undefined	/favicon.ico 
04-05-2023 	 10:58:01 	 2c36dffb-91e6-4031-bb71-0bd575149726 	 GET	undefined	/ 
04-05-2023 	 10:58:01 	 f391caa8-5017-4c82-8529-6c28c6e004b9 	 GET	undefined	/css/style.css 
04-05-2023 	 10:58:02 	 ba6cbefc-ca78-4dce-a7bb-9aab42acebc4 	 GET	undefined	/favicon.ico 
04-05-2023 	 11:03:45 	 0b6c26a3-6e99-4714-b051-ad8cfa57b98d 	 GET	undefined	/.json 
04-05-2023 	 11:03:45 	 b3f121d4-cda2-4240-b013-8f46df73f171 	 GET	undefined	/css/style.css 
04-05-2023 	 11:03:45 	 d00d645f-51d4-4e38-98e6-50284715dd23 	 GET	undefined	/favicon.ico 
04-05-2023 	 11:04:06 	 a505ec07-c97e-4379-ba69-6ee398256cae 	 GET	undefined	/jjj 
04-05-2023 	 11:04:06 	 52ed3e0a-84b0-49db-8785-cdc58d6ee66b 	 GET	undefined	/css/style.css 
04-08-2024 	 10:17:54 	 09510ad6-62b2-46ed-ba03-cb0fe6d8d526 	 GET	undefined	/ 
04-08-2024 	 10:17:54 	 2a4539d9-8d27-446e-a7b8-a3ea2278c842 	 GET	undefined	/css/style.css 
04-08-2024 	 10:17:54 	 c4dbc157-47ef-48e8-b34b-a15f1169552f 	 GET	undefined	/ 
04-08-2024 	 10:17:54 	 e8b42dcd-8930-4f9b-9c1b-f22690b003ec 	 GET	undefined	/css/style.css 
04-08-2024 	 10:17:54 	 710b7641-2e92-46ef-a671-5122127fcb3d 	 GET	undefined	/favicon.ico 
04-08-2024 	 10:17:56 	 3c7c198a-611c-4e5e-9f43-c838a4645843 	 GET	undefined	/sw.js 
04-08-2024 	 10:18:25 	 38c5c74d-4f89-423f-a570-e5e849392977 	 GET	undefined	/sw.js 
04-08-2024 	 11:31:54 	 560967c1-96ca-4688-a771-b4cdae0576a3 	 GET	undefined	/employees 
04-08-2024 	 11:32:23 	 cc3efea9-7d36-4499-bf1a-4018f2b15253 	 GET	undefined	/employees 
04-08-2024 	 11:33:36 	 a493f289-e2da-4342-8147-a2e8b7afd775 	 POST	undefined	/employees 
04-08-2024 	 11:35:42 	 1a2db0d2-1567-4bd6-bb0c-3146a03dc609 	 POST	undefined	/employees 
04-08-2024 	 11:36:44 	 fc1fe736-bcce-4b20-83c5-2f083758fcd3 	 POST	undefined	/employees 
04-08-2024 	 11:36:53 	 816ec5e9-79e6-4e46-91b8-fc595b3518b5 	 POST	undefined	/employees 
04-08-2024 	 11:37:14 	 5b425475-c8aa-4772-a58b-608cbfd1091c 	 POST	undefined	/employees 
04-08-2024 	 11:37:20 	 80e1b9cf-e4a4-4791-8a3e-3d3bb84be731 	 PUT	undefined	/employees 
04-08-2024 	 11:37:52 	 f7053aeb-86e5-4eb4-9b97-d6a273865793 	 PUT	undefined	/employees 
04-08-2024 	 11:38:04 	 9ce8ccb4-4221-47c5-b87c-4f78a23b99a0 	 PUT	undefined	/employees 
04-08-2024 	 11:38:32 	 a0289537-81be-466b-b09c-760d8a253ef8 	 DELETE	undefined	/employees/1 
04-08-2024 	 11:39:19 	 0d68a834-7f6d-4b1f-b273-31845d539896 	 GET	undefined	/employees/1 
